bc,co,date,location,no2,o3,pm10,pm25,so2
"","",2022-04-29,Myton,0.0016,0.0528,"","",""
"",0.2286,2022-04-29,NORFOLK - NOAA,0.0097,"","","",0.0
"","",2022-04-29,Sipayik,"",0.0294,"",0.9877,""
"","",2022-04-29,Youngstown State,"",0.0287,"",6.9316,7.0E-4
"","",2022-04-29,SF-USD,"",0.0261,19.2619,9.1727,""
"","",2022-04-29,Cadiz,"",0.0593,"","",""
"","",2022-04-29,Coffeeville,"",0.0537,"","",""
"","",2022-04-29,Victorville - Park A,"",0.0435,38.9907,12.7196,""
"",0.2446,2022-04-29,San Bernadino - 4th,0.0143,0.0377,43.4112,"",""
0.2805,0.4758,2022-04-29,San Jose - Knox Ave,0.0112,"","",6.3294,""
"","",2022-04-29,Craters of the Moon,"",0.0443,"","",""
"","",2022-04-29,Algonquin Parkway,"","",19.8125,7.0688,4.0E-4
"",0.1779,2022-04-29,RT,0.0152,"","",17.0366,""
"","",2022-04-29,Lynn Lane,"",0.0383,"","",""
"","",2022-04-29,Coos Bay Marshfield,"","","",2.6192,""
"","",2022-04-29,Abington,"",0.0445,"","",""
"","",2022-04-29,Hayden,"","",29.9524,"",9.0E-4
"","",2022-04-29,Westmorland - 570 Co,"",0.0433,107.2807,"",""
"","",2022-04-29,Phelan - Beekley Roa,"",0.0523,"","",""
"","",2022-04-29,Yreka,"",0.0384,"",97.4471,""
"",0.4762,2022-04-29,South DeKalb,0.0145,0.0307,46.1942,33.3447,0.0
"","",2022-04-29,DETROIT-SW,"","","",10.0437,0.0021
"","",2022-04-29,Malta,9.0E-4,0.0345,8.3883,5.001,""
"","",2022-04-29,South Valley,0.0054,0.05,53.7879,9.5019,""
"",0.3975,2022-04-29,TOR,0.0164,"","",5.3612,""
"","",2022-04-29,Credit Union,"","",61.1646,12.0101,""
"","",2022-04-29,Malone Univ,"",0.0426,"","",""
"","",2022-04-29,Arendtsville,"",0.0464,"",5.016,""
"",0.202,2022-04-29,HAMPTON,0.0032,0.036,"",5.1379,0.001
"","",2022-04-29,Dysart,"",0.0479,53.7788,"",""
"","",2022-04-29,AJ Maintenance Yard,"",0.0479,"","",""
"","",2022-04-29,Pinal County Housing,"","",47.2913,"",""
"","",2022-04-29,Richmond - 7th St,"","","","",0.0
"","",2022-04-29,Boise Fire Station,"","",11.1262,"",""
"","",2022-04-29,Chanute,"",0.0126,23.016,10.8744,9.0E-4
"","",2022-04-29,FRANKFORT,"",0.0453,"","",""
"","",2022-04-29,Hinds CC,"",0.0288,"",15.6612,""
"",0.3,2022-04-29,North OKC,0.0021,0.0352,20.8926,8.9816,0.0
"","",2022-04-29,HVILLE,"",0.0341,"",12.75,""
"",0.0969,2022-04-29,Rose Park,0.0031,0.0454,"",5.9959,1.0E-4
"","",2022-04-29,Visalia - W Ashland,0.0048,0.0413,"",9.0971,""
"","",2022-04-29,Senior Center,"",0.045,55.6768,"",""
"","",2022-04-29,South Tucson,"","",34.6796,"",""
"","",2022-04-29,Antelope - North Hig,"",0.036,"","",""
"","",2022-04-29,Sheffield Elementary,"",0.045,"",9.606,""
"","",2022-04-29,Lantana Preserve,"",0.0386,"","",""
"","",2022-04-29,Hagerstown,"",0.041,"",3.7381,""
"","",2022-04-29,Chelmsford,"",0.0435,"","",""
"",0.1956,2022-04-29,Worcester,0.0032,0.042,"",5.7867,0.0
"","",2022-04-29,Linda,"","",52.5408,"",""
"","",2022-04-29,Yankee,"","","","",0.0
"",0.3148,2022-04-29,Parklane,"",0.0308,"",15.2117,0.0
"","",2022-04-29,WIND CAVE,"",0.0444,19.3204,8.5922,""
"","",2022-04-29,Port Angeles-E 5th S,"","","",4.6725,""
"","",2022-04-29,TROUT LAKE,"",0.047,"",5.68,""
"","",2022-04-29,Willits Blosser Lane,"","","",9.696,""
"","",2022-04-29,Paynes Prairie Farm,"",0.0457,"",9.5038,""
"",0.2865,2022-04-29,Central Phoenix,0.0106,0.0404,43.3269,"",0.0
"",0.3506,2022-04-29,Los Angeles - N. Mai,0.0184,0.0318,36.3458,16.5869,0.0
"",0.1037,2022-04-29,New Haven,0.004,0.0432,21.4821,4.75,0.0
"","",2022-04-29,South Bend-Shields D,"",0.0399,"",8.9699,""
"",0.1538,2022-04-29,Jackson NCORE,"",0.0357,27.4078,15.7718,0.0
"","",2022-04-29,Church,"","",54.2804,"",""
"","",2022-04-29,Springfield Well Fd,"",0.0367,"","",""
0.4805,0.1098,2022-04-29,Portland Near Road,0.009,0.0252,"",4.2616,""
"","",2022-04-29,Neah Bay 2-Makah Tri,"","","",3.0245,""
"","",2022-04-29,Miles City,"","",13.1262,9.0265,""
"","",2022-04-29,Fayetteville,"",0.0437,"","",""
"",0.288,2022-04-29,Triple Oak - Near Ro,0.0107,"","",5.968,""
"","",2022-04-29,LEEDS,"",0.028,"","",""
"","",2022-04-29,Higley,"","",40.6,"",""
"",0.3771,2022-04-29,San Pablo - Rumrill,0.0064,0.0326,"",8.9012,0.0011
"","",2022-04-29,Temecula (Lake Skinn,"",0.0519,"",14.5833,""
"",0.2568,2022-04-29,San Jose - Jackson S,0.0079,0.0331,"",8.9647,""
"","",2022-04-29,Leopold,"",0.0415,"","",""
"","",2022-04-29,MICMAC,4.0E-4,0.033,"",3.8429,0.0
"","",2022-04-29,Durham Armory,"",0.0304,15.2167,6.44,0.0
"","",2022-04-29,Middletown Airport,"",0.0381,"","",""
"","",2022-04-29,Cove Mountain - GSMN,"",0.0592,"","",""
"","",2022-04-29,Kittanning,"",0.0355,"",5.942,""
"",0.16,2022-04-29,Newark Firehouse,0.004,0.0462,"",2.0096,0.0
"",0.2296,2022-04-29,Garden,"","",17.5417,3.9022,""
"","",2022-04-29,Casa Grande Downtown,"","",35.9223,9.0097,""
"",0.4262,2022-04-29,Bercut Dr,0.011,"","",7.6111,""
"","",2022-04-29,East Hartford,0.0026,0.0455,10.4821,4.2446,""
"","",2022-04-29,Osceola National For,"",0.0468,"","",""
"","",2022-04-29,Tallahassee Communit,"",0.0515,"",12.925,""
"","",2022-04-29,CARY,"",0.0304,"",9.9811,""
"","",2022-04-29,Fond du Lac,"",0.039,"",1.1739,""
"","",2022-04-29,Broadus,"",0.0316,13.835,6.1357,""
"","",2022-04-29,Flemington,"",0.0446,"",3.0833,""
"",0.3684,2022-04-29,Remount,0.0168,"","",14.1776,""
"","",2022-04-29,Black Hawk,"",0.0419,23.8835,"",""
"","",2022-04-29,Mesa-Pepoit Way (tem,"","","",3.451,""
